Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
2004,ME,Maine,Cervix,9.3,67,671862,9.97
2004,MD,Maryland,Cervix,7.5,227,2870043,7.91
2004,MA,Massachusetts,Cervix,7,246,3314634,7.42
2004,MI,Michigan,Cervix,7.2,372,5117929,7.27
2004,MN,Minnesota,Cervix,6.2,163,2564037,6.36
2004,MS,Mississippi,Cervix,9.6,143,1490115,9.60
2004,MO,Missouri,Cervix,8.8,266,2942685,9.04
2004,MT,Montana,Cervix,6.8,32,465000,6.88
2004,NE,Nebraska,Cervix,7.1,63,883984,7.13
2004,NV,Nevada,Cervix,8,95,1156586,8.21
2004,NH,New Hampshire,Cervix,5.4,38,653845,5.81
2004,NJ,New Jersey,Cervix,9.5,455,4436964,10.25
2004,NM,New Mexico,Cervix,9.6,93,964738,9.64
2004,NY,New York,Cervix,8.2,863,9913527,8.71
2004,NC,North Carolina,Cervix,8.7,397,4376070,9.07
2004,ND,North Dakota,Cervix,6.4,20,321008,6.23
2004,OH,Ohio,Cervix,7.9,476,5874411,8.10
2004,OK,Oklahoma,Cervix,7.8,140,1784671,7.84
2004,OR,Oregon,Cervix,5.6,104,1800377,5.78
2004,PA,Pennsylvania,Cervix,7.8,532,6390749,8.32
2004,PR,Puerto Rico,,Data Suppressed,Data Suppressed,,
2004,RI,Rhode Island,Cervix,10.8,63,556375,11.32
2004,SC,South Carolina,Cervix,8.2,184,2162305,8.51
2004,SD,South Dakota,Cervix,7.2,27,386677,6.98
2004,TN,Tennessee,Cervix,8.8,275,3027931,9.08
2004,TX,Texas,Cervix,9.8,1071,11278402,9.50
2004,United States,United States,Cervix,8.2,12498,148977286,8.39
2004,UT,Utah,Cervix,6.5,64,1196749,5.35
2004,VT,Vermont,Cervix,6.8,23,315080,7.30
2004,VA,Virginia,Cervix,6.4,258,3814310,6.76
2004,WA,Washington,Cervix,7.1,224,3107815,7.21
2004,WV,West Virginia,Cervix,9.9,98,927027,10.57
2004,WI,Wisconsin,Cervix,7.4,208,2782678,7.47
2004,WY,Wyoming,Cervix,9.2,21,251506,8.35
2005,AL,Alabama,Cervix,8.1,197,2354514,8.37
2005,AK,Alaska,Cervix,9.8,28,320920,8.72
2005,AZ,Arizona,Cervix,7.5,213,2930811,7.27
2005,ArKS,Arkansas,Cervix,9.8,139,1418295,9.80
2005,CA,California,Cervix,8.6,1533,17996230,8.52
